Date,Open,High,Low,Close,Volume
2013-01-02,38.633793,38.787388,37.736458,38.318512,5881935
2013-01-03,36.184319,36.669361,35.569927,36.143898,11455610
2013-01-04,36.26516,36.5481,35.982216,36.281326,4067875
2013-01-07,36.216652,36.337914,35.675018,36.103477,3705681
2013-01-08,36.014549,36.151981,35.489086,35.626514,6561667
2013-01-09,35.780113,35.925629,35.521423,35.666935,3654717
2013-01-10,35.925629,35.925629,35.343575,35.81245,6601374
2013-01-11,35.788197,36.054974,35.594177,35.877121,2931566
2013-01-14,36.232822,37.170574,36.224735,36.782539,5771347
2013-01-15,37.590946,38.318512,37.008892,37.534355,8091588
2013-01-16,37.413097,38.019402,37.186741,37.679871,4992903
2013-01-17,37.776878,38.334682,37.558609,37.946644,3697888
2013-01-18,37.91431,37.995152,37.502022,37.922394,3011600
2013-01-22,37.930477,38.310429,37.768795,38.213421,2705690
2013-01-23,38.100243,38.19725,37.744541,37.930477,3902611
2013-01-24,38.019402,38.997574,38.019402,38.552952,4175617
2013-01-25,38.674213,39.18351,38.488277,39.029911,3275329
2013-01-28,38.957153,38.957153,38.601456,38.763138,2770014
2013-01-29,38.64996,39.102669,38.439774,39.029911,2385307
2013-01-30,38.892483,39.046078,38.682297,38.876312,3641728
2013-01-31,38.682297,39.337105,38.617622,38.819725,8017121
2013-02-01,39.126919,39.126919,38.116409,38.19725,7268736
2013-02-04,38.027485,38.561035,37.671787,38.334682,4585930
2013-02-05,38.520615,39.086498,38.496361,38.803558,5521844
2013-02-06,38.722717,38.981407,38.067905,38.189167,6580593
2013-02-07,37.776878,38.003235,36.928051,36.928051,7329349
2013-02-08,37.299919,37.299919,36.831043,37.033146,6233367
2013-02-11,36.831043,37.219078,36.580437,36.58852,3755532
2013-02-12,36.604691,36.701698,36.143898,36.248989,6454542
2013-02-13,36.297493,36.459175,36.063057,36.151981,4232767
2013-02-14,36.054974,36.119644,35.408245,35.610348,7817840
2013-02-15,35.586094,36.119644,35.286983,35.618431,4546965
2013-02-19,35.569927,36.151981,35.408245,36.087307,4519132
2013-02-20,35.81245,36.232822,35.569927,35.578011,5110542
2013-02-21,35.392078,35.448666,34.97979,35.173809,3719288
2013-02-22,35.270817,35.295071,34.349232,35.149555,4647162
2013-02-25,35.262733,35.464832,34.575584,34.640259,3180327
2013-02-26,34.76152,35.367825,34.688763,35.270817,5527163
2013-02-27,35.359741,36.135811,35.181892,35.974133,5229912
2013-02-28,36.734035,37.63945,36.564266,36.798706,8819810
2013-03-01,36.531933,36.669361,36.26516,36.394505,3879108
2013-03-04,36.434921,36.814877,36.103477,36.386417,3691455
2013-03-05,36.653194,36.774452,36.475346,36.580437,3367980
2013-03-06,36.677444,36.84721,36.208569,36.418755,2925134
2013-03-07,36.305576,36.717865,36.168148,36.273243,2416727
2013-03-08,36.459175,36.620857,36.248989,36.612774,2535603
2013-03-11,36.580437,36.750202,36.305576,36.499596,2179347
2013-03-12,36.499596,36.653194,36.127728,36.168148,1970417
2013-03-13,36.168148,36.370251,35.949879,36.022636,2710267
2013-03-14,36.176231,36.370251,36.038803,36.281326,2118115
2013-03-15,36.313663,36.814877,36.151981,36.5481,4151743
2013-03-18,36.143898,36.531933,35.974133,36.103477,2490081
2013-03-19,36.103477,36.281326,34.858528,35.21423,4032744
2013-03-20,35.367825,35.650768,35.286983,35.424416,2378504
2013-03-21,35.319321,35.424416,34.624092,34.769604,4649017
2013-03-22,34.947453,35.626514,34.898949,35.618431,3428964
2013-03-25,35.747776,36.224735,35.642685,36.168148,4054762
2013-03-26,36.200485,36.297493,35.448666,35.691189,2515811
2013-03-27,35.497169,35.739693,34.882782,35.666935,2396069
2013-03-28,35.658852,36.103477,35.440582,36.103477,2833472
2013-04-01,36.022636,36.434921,35.990299,36.111561,3191089
2013-04-02,36.208569,37.202911,36.111561,37.186741,3099551
2013-04-03,37.14632,37.437347,36.378334,36.475346,3118972
2013-04-04,36.475346,37.049313,36.386417,37.016975,1892610
2013-04-05,36.564266,37.437347,36.515762,37.348423,2441343
2013-04-08,37.275665,37.91431,37.073566,37.906223,2826174
2013-04-09,37.970898,38.326595,37.663704,38.318512,4139497
2013-04-10,38.488277,38.940987,38.334682,38.940987,4720763
2013-04-11,39.498787,41.430882,39.417946,40.622475,9468988
2013-04-12,40.194019,41.010509,39.838318,40.767986,6309690
2013-04-15,40.363785,40.51738,39.523041,39.571545,2919939
2013-04-16,39.781731,39.919159,39.531124,39.894909,2474124
2013-04-17,39.652386,39.749393,38.981407,39.232014,3101778
2013-04-18,39.369442,39.72514,38.625706,38.706547,2711009
2013-04-19,38.892483,39.159256,38.633793,39.143089,2064429
2013-04-22,39.215843,39.345188,38.658043,39.005657,1481184
2013-04-23,39.126919,39.74131,38.674213,39.037994,1939987
2013-04-24,39.118835,39.434116,39.118835,39.401779,1459536
2013-04-25,39.603882,41.099434,39.474537,40.654812,4038434
2013-04-26,40.606304,40.945835,40.226353,40.81649,3042402
